burned;burningProbability;burningStepThreshold;dim;empty;finalTime;forest;neighborhood;simulations
2500;1;1;50;0.0;150;0;"vonneumann";"1_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"2_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"3_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"4_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"5_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"6_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"7_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"8_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"9_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"10_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"11_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"12_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2500;1;1;50;0.0;150;0;"vonneumann";"13_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
