burned;dim;empty;finalTime;forest;simulations
319;20;0.2;100;4;"1_execution_dim_20_empty_0.2_"
319;20;0.2;100;0;"2_execution_dim_20_empty_0.2_"
319;20;0.2;100;3;"3_execution_dim_20_empty_0.2_"
302;20;0.21;100;4;"1_execution_dim_20_empty_0.21_"
323;20;0.21;100;0;"2_execution_dim_20_empty_0.21_"
316;20;0.21;100;1;"3_execution_dim_20_empty_0.21_"
301;20;0.22;100;9;"1_execution_dim_20_empty_0.22_"
312;20;0.22;100;7;"2_execution_dim_20_empty_0.22_"
330;20;0.22;100;6;"3_execution_dim_20_empty_0.22_"
292;20;0.23;100;11;"1_execution_dim_20_empty_0.23_"
308;20;0.23;100;0;"2_execution_dim_20_empty_0.23_"
297;20;0.23;100;14;"3_execution_dim_20_empty_0.23_"
308;20;0.24;100;2;"1_execution_dim_20_empty_0.24_"
305;20;0.24;100;2;"2_execution_dim_20_empty_0.24_"
316;20;0.24;100;0;"3_execution_dim_20_empty_0.24_"
311;20;0.25;100;0;"1_execution_dim_20_empty_0.25_"
299;20;0.25;100;1;"2_execution_dim_20_empty_0.25_"
287;20;0.25;100;9;"3_execution_dim_20_empty_0.25_"
296;20;0.26;100;2;"1_execution_dim_20_empty_0.26_"
288;20;0.26;100;9;"2_execution_dim_20_empty_0.26_"
290;20;0.26;100;11;"3_execution_dim_20_empty_0.26_"
290;20;0.27;100;1;"1_execution_dim_20_empty_0.27_"
284;20;0.27;100;7;"2_execution_dim_20_empty_0.27_"
294;20;0.27;100;2;"3_execution_dim_20_empty_0.27_"
253;20;0.28;100;21;"1_execution_dim_20_empty_0.28_"
2;20;0.28;100;280;"2_execution_dim_20_empty_0.28_"
282;20;0.28;100;5;"3_execution_dim_20_empty_0.28_"
282;20;0.29;100;6;"1_execution_dim_20_empty_0.29_"
231;20;0.29;100;45;"2_execution_dim_20_empty_0.29_"
262;20;0.29;100;17;"3_execution_dim_20_empty_0.29_"
218;20;0.3;100;54;"1_execution_dim_20_empty_0.3_"
251;20;0.3;100;20;"2_execution_dim_20_empty_0.3_"
281;20;0.3;100;1;"3_execution_dim_20_empty_0.3_"
270;20;0.31;100;9;"1_execution_dim_20_empty_0.31_"
272;20;0.31;100;10;"2_execution_dim_20_empty_0.31_"
257;20;0.31;100;23;"3_execution_dim_20_empty_0.31_"
293;20;0.32;100;5;"1_execution_dim_20_empty_0.32_"
267;20;0.32;100;20;"2_execution_dim_20_empty_0.32_"
272;20;0.32;100;10;"3_execution_dim_20_empty_0.32_"
270;20;0.33;100;7;"1_execution_dim_20_empty_0.33_"
257;20;0.33;100;18;"2_execution_dim_20_empty_0.33_"
263;20;0.33;100;21;"3_execution_dim_20_empty_0.33_"
265;20;0.34;100;4;"1_execution_dim_20_empty_0.34_"
280;20;0.34;100;4;"2_execution_dim_20_empty_0.34_"
249;20;0.34;100;26;"3_execution_dim_20_empty_0.34_"
207;20;0.35;100;58;"1_execution_dim_20_empty_0.35_"
247;20;0.35;100;20;"2_execution_dim_20_empty_0.35_"
216;20;0.35;100;47;"3_execution_dim_20_empty_0.35_"
208;20;0.36;100;44;"1_execution_dim_20_empty_0.36_"
233;20;0.36;100;22;"2_execution_dim_20_empty_0.36_"
9;20;0.36;100;261;"3_execution_dim_20_empty_0.36_"
229;20;0.37;100;23;"1_execution_dim_20_empty_0.37_"
197;20;0.37;100;51;"2_execution_dim_20_empty_0.37_"
135;20;0.37;100;114;"3_execution_dim_20_empty_0.37_"
5;20;0.38;100;245;"1_execution_dim_20_empty_0.38_"
140;20;0.38;100;96;"2_execution_dim_20_empty_0.38_"
214;20;0.38;100;38;"3_execution_dim_20_empty_0.38_"
221;20;0.39;100;38;"1_execution_dim_20_empty_0.39_"
33;20;0.39;100;203;"2_execution_dim_20_empty_0.39_"
38;20;0.39;100;215;"3_execution_dim_20_empty_0.39_"
144;20;0.4;100;107;"1_execution_dim_20_empty_0.4_"
213;20;0.4;100;33;"2_execution_dim_20_empty_0.4_"
17;20;0.4;100;218;"3_execution_dim_20_empty_0.4_"
94;20;0.41;100;143;"1_execution_dim_20_empty_0.41_"
101;20;0.41;100;125;"2_execution_dim_20_empty_0.41_"
134;20;0.41;100;95;"3_execution_dim_20_empty_0.41_"
103;20;0.42;100;118;"1_execution_dim_20_empty_0.42_"
76;20;0.42;100;154;"2_execution_dim_20_empty_0.42_"
3;20;0.42;100;236;"3_execution_dim_20_empty_0.42_"
98;20;0.43;100;119;"1_execution_dim_20_empty_0.43_"
172;20;0.43;100;73;"2_execution_dim_20_empty_0.43_"
88;20;0.43;100;152;"3_execution_dim_20_empty_0.43_"
27;20;0.44;100;181;"1_execution_dim_20_empty_0.44_"
50;20;0.44;100;180;"2_execution_dim_20_empty_0.44_"
136;20;0.44;100;96;"3_execution_dim_20_empty_0.44_"
189;20;0.45;100;57;"1_execution_dim_20_empty_0.45_"
14;20;0.45;100;216;"2_execution_dim_20_empty_0.45_"
7;20;0.45;100;222;"3_execution_dim_20_empty_0.45_"
105;20;0.46;100;119;"1_execution_dim_20_empty_0.46_"
81;20;0.46;100;125;"2_execution_dim_20_empty_0.46_"
12;20;0.46;100;196;"3_execution_dim_20_empty_0.46_"
31;20;0.47;100;179;"1_execution_dim_20_empty_0.47_"
82;20;0.47;100;139;"2_execution_dim_20_empty_0.47_"
16;20;0.47;100;185;"3_execution_dim_20_empty_0.47_"
40;20;0.48;100;180;"1_execution_dim_20_empty_0.48_"
110;20;0.48;100;118;"2_execution_dim_20_empty_0.48_"
5;20;0.48;100;199;"3_execution_dim_20_empty_0.48_"
23;20;0.49;100;185;"1_execution_dim_20_empty_0.49_"
49;20;0.49;100;167;"2_execution_dim_20_empty_0.49_"
7;20;0.49;100;194;"3_execution_dim_20_empty_0.49_"
29;20;0.5;100;177;"1_execution_dim_20_empty_0.5_"
19;20;0.5;100;193;"2_execution_dim_20_empty_0.5_"
64;20;0.5;100;137;"3_execution_dim_20_empty_0.5_"
