burned;dim;empty;finalTime;forest;simulations
2251;50;0.1;100;0;"1_execution_dim_50_empty_0.1_"
2267;50;0.1;100;0;"2_execution_dim_50_empty_0.1_"
2284;50;0.1;100;0;"3_execution_dim_50_empty_0.1_"
2237;50;0.1;100;0;"4_execution_dim_50_empty_0.1_"
2232;50;0.1;100;6;"5_execution_dim_50_empty_0.1_"
2267;50;0.1;100;0;"6_execution_dim_50_empty_0.1_"
2262;50;0.1;100;0;"7_execution_dim_50_empty_0.1_"
2254;50;0.1;100;0;"8_execution_dim_50_empty_0.1_"
2240;50;0.1;100;1;"9_execution_dim_50_empty_0.1_"
2245;50;0.1;100;1;"10_execution_dim_50_empty_0.1_"
2265;50;0.1;100;0;"11_execution_dim_50_empty_0.1_"
2252;50;0.1;100;0;"12_execution_dim_50_empty_0.1_"
2244;50;0.1;100;1;"13_execution_dim_50_empty_0.1_"
2246;50;0.1;100;1;"14_execution_dim_50_empty_0.1_"
2261;50;0.1;100;0;"15_execution_dim_50_empty_0.1_"
2240;50;0.1;100;0;"16_execution_dim_50_empty_0.1_"
2260;50;0.1;100;0;"17_execution_dim_50_empty_0.1_"
2251;50;0.1;100;1;"18_execution_dim_50_empty_0.1_"
2264;50;0.1;100;0;"19_execution_dim_50_empty_0.1_"
2250;50;0.1;100;0;"20_execution_dim_50_empty_0.1_"
2255;50;0.1;100;0;"21_execution_dim_50_empty_0.1_"
2254;50;0.1;100;1;"22_execution_dim_50_empty_0.1_"
2218;50;0.1;100;2;"23_execution_dim_50_empty_0.1_"
2226;50;0.1;100;3;"24_execution_dim_50_empty_0.1_"
2230;50;0.1;100;0;"25_execution_dim_50_empty_0.1_"
2215;50;0.1;100;0;"26_execution_dim_50_empty_0.1_"
2272;50;0.1;100;2;"27_execution_dim_50_empty_0.1_"
2257;50;0.1;100;0;"28_execution_dim_50_empty_0.1_"
2235;50;0.1;100;0;"29_execution_dim_50_empty_0.1_"
2240;50;0.1;100;0;"30_execution_dim_50_empty_0.1_"
