burned;dim;empty;finalTime;forest;simulations
1;50;0.9;100;243;"1_execution_dim_50_empty_0.9_"
3;50;0.9;100;268;"2_execution_dim_50_empty_0.9_"
2;50;0.9;100;239;"3_execution_dim_50_empty_0.9_"
1;50;0.9;100;253;"4_execution_dim_50_empty_0.9_"
1;50;0.9;100;227;"5_execution_dim_50_empty_0.9_"
1;50;0.9;100;240;"6_execution_dim_50_empty_0.9_"
1;50;0.9;100;277;"7_execution_dim_50_empty_0.9_"
1;50;0.9;100;237;"8_execution_dim_50_empty_0.9_"
1;50;0.9;100;252;"9_execution_dim_50_empty_0.9_"
1;50;0.9;100;243;"10_execution_dim_50_empty_0.9_"
2;50;0.91;100;230;"1_execution_dim_50_empty_0.91_"
1;50;0.91;100;220;"2_execution_dim_50_empty_0.91_"
1;50;0.91;100;244;"3_execution_dim_50_empty_0.91_"
1;50;0.91;100;221;"4_execution_dim_50_empty_0.91_"
1;50;0.91;100;236;"5_execution_dim_50_empty_0.91_"
1;50;0.91;100;224;"6_execution_dim_50_empty_0.91_"
2;50;0.91;100;216;"7_execution_dim_50_empty_0.91_"
1;50;0.91;100;215;"8_execution_dim_50_empty_0.91_"
1;50;0.91;100;219;"9_execution_dim_50_empty_0.91_"
1;50;0.91;100;242;"10_execution_dim_50_empty_0.91_"
1;50;0.92;100;206;"1_execution_dim_50_empty_0.92_"
1;50;0.92;100;214;"2_execution_dim_50_empty_0.92_"
1;50;0.92;100;194;"3_execution_dim_50_empty_0.92_"
2;50;0.92;100;195;"4_execution_dim_50_empty_0.92_"
2;50;0.92;100;215;"5_execution_dim_50_empty_0.92_"
2;50;0.92;100;199;"6_execution_dim_50_empty_0.92_"
2;50;0.92;100;187;"7_execution_dim_50_empty_0.92_"
1;50;0.92;100;202;"8_execution_dim_50_empty_0.92_"
1;50;0.92;100;172;"9_execution_dim_50_empty_0.92_"
1;50;0.92;100;168;"10_execution_dim_50_empty_0.92_"
1;50;0.93;100;180;"1_execution_dim_50_empty_0.93_"
1;50;0.93;100;176;"2_execution_dim_50_empty_0.93_"
1;50;0.93;100;172;"3_execution_dim_50_empty_0.93_"
1;50;0.93;100;186;"4_execution_dim_50_empty_0.93_"
1;50;0.93;100;179;"5_execution_dim_50_empty_0.93_"
1;50;0.93;100;194;"6_execution_dim_50_empty_0.93_"
2;50;0.93;100;169;"7_execution_dim_50_empty_0.93_"
3;50;0.93;100;180;"8_execution_dim_50_empty_0.93_"
1;50;0.93;100;189;"9_execution_dim_50_empty_0.93_"
2;50;0.93;100;145;"10_execution_dim_50_empty_0.93_"
1;50;0.94;100;135;"1_execution_dim_50_empty_0.94_"
2;50;0.94;100;136;"2_execution_dim_50_empty_0.94_"
2;50;0.94;100;134;"3_execution_dim_50_empty_0.94_"
1;50;0.94;100;150;"4_execution_dim_50_empty_0.94_"
1;50;0.94;100;149;"5_execution_dim_50_empty_0.94_"
1;50;0.94;100;150;"6_execution_dim_50_empty_0.94_"
1;50;0.94;100;165;"7_execution_dim_50_empty_0.94_"
1;50;0.94;100;174;"8_execution_dim_50_empty_0.94_"
1;50;0.94;100;143;"9_execution_dim_50_empty_0.94_"
3;50;0.94;100;163;"10_execution_dim_50_empty_0.94_"
3;50;0.95;100;107;"1_execution_dim_50_empty_0.95_"
1;50;0.95;100;107;"2_execution_dim_50_empty_0.95_"
1;50;0.95;100;123;"3_execution_dim_50_empty_0.95_"
1;50;0.95;100;118;"4_execution_dim_50_empty_0.95_"
1;50;0.95;100;114;"5_execution_dim_50_empty_0.95_"
1;50;0.95;100;117;"6_execution_dim_50_empty_0.95_"
1;50;0.95;100;114;"7_execution_dim_50_empty_0.95_"
1;50;0.95;100;139;"8_execution_dim_50_empty_0.95_"
1;50;0.95;100;125;"9_execution_dim_50_empty_0.95_"
1;50;0.95;100;116;"10_execution_dim_50_empty_0.95_"
2;50;0.96;100;108;"1_execution_dim_50_empty_0.96_"
1;50;0.96;100;109;"2_execution_dim_50_empty_0.96_"
1;50;0.96;100;115;"3_execution_dim_50_empty_0.96_"
3;50;0.96;100;103;"4_execution_dim_50_empty_0.96_"
1;50;0.96;100;102;"5_execution_dim_50_empty_0.96_"
1;50;0.96;100;91;"6_execution_dim_50_empty_0.96_"
1;50;0.96;100;96;"7_execution_dim_50_empty_0.96_"
1;50;0.96;100;96;"8_execution_dim_50_empty_0.96_"
1;50;0.96;100;107;"9_execution_dim_50_empty_0.96_"
1;50;0.96;100;94;"10_execution_dim_50_empty_0.96_"
1;50;0.97;100;72;"1_execution_dim_50_empty_0.97_"
1;50;0.97;100;85;"2_execution_dim_50_empty_0.97_"
1;50;0.97;100;73;"3_execution_dim_50_empty_0.97_"
1;50;0.97;100;71;"4_execution_dim_50_empty_0.97_"
1;50;0.97;100;81;"5_execution_dim_50_empty_0.97_"
1;50;0.97;100;70;"6_execution_dim_50_empty_0.97_"
1;50;0.97;100;66;"7_execution_dim_50_empty_0.97_"
1;50;0.97;100;66;"8_execution_dim_50_empty_0.97_"
1;50;0.97;100;66;"9_execution_dim_50_empty_0.97_"
1;50;0.97;100;76;"10_execution_dim_50_empty_0.97_"
1;50;0.98;100;58;"1_execution_dim_50_empty_0.98_"
1;50;0.98;100;57;"2_execution_dim_50_empty_0.98_"
1;50;0.98;100;47;"3_execution_dim_50_empty_0.98_"
1;50;0.98;100;45;"4_execution_dim_50_empty_0.98_"
1;50;0.98;100;63;"5_execution_dim_50_empty_0.98_"
2;50;0.98;100;29;"6_execution_dim_50_empty_0.98_"
1;50;0.98;100;50;"7_execution_dim_50_empty_0.98_"
1;50;0.98;100;48;"8_execution_dim_50_empty_0.98_"
1;50;0.98;100;46;"9_execution_dim_50_empty_0.98_"
1;50;0.98;100;54;"10_execution_dim_50_empty_0.98_"
1;50;0.99;100;22;"1_execution_dim_50_empty_0.99_"
1;50;0.99;100;24;"2_execution_dim_50_empty_0.99_"
1;50;0.99;100;31;"3_execution_dim_50_empty_0.99_"
1;50;0.99;100;29;"4_execution_dim_50_empty_0.99_"
1;50;0.99;100;34;"5_execution_dim_50_empty_0.99_"
1;50;0.99;100;27;"6_execution_dim_50_empty_0.99_"
1;50;0.99;100;26;"7_execution_dim_50_empty_0.99_"
1;50;0.99;100;32;"8_execution_dim_50_empty_0.99_"
1;50;0.99;100;19;"9_execution_dim_50_empty_0.99_"
